geography,subsector,elec_heating,elec_cooling,elec_water_heating,elec_ventilation,elec_cooking,elec_lighting,elec_refrigeration,elec_office_equip_pcs,elec_office_equip_nonpcs,elec_other,ng_heating,ng_cooling,ng_water_heating,ng_cooking,ng_other,fuel_oil_heating,fuel_oil_cooling,fuel_oil_water_heating,fuel_oil_other
west_north_central,health_care,-0.009104229,0.007065783,-0.010117916,-0.004775817,-0.001676848,-0.009669622,0.00663775,0.004023586,0.029289207,0.003593175,0.001147626,0.001137135,0.006941158,0.014519162,0.009174919,-0.021427938,0,0,0.010522957
west_north_central,lodging,-0.00638514,0.010887602,-0.00916408,-0.007183143,-0.001430524,-0.014513038,0.007001225,0.00424249,0.029469387,0.010380261,0.003144283,0,0.006882703,0.015958268,0.001566784,0,0,0,0.010001362
west_north_central,merc_service,-0.008860442,0.021649328,0,0.004782751,0.003742773,-0.008924073,0.007279877,0.003984166,0.029274518,0.029218544,-0.004717795,0.016986295,0.0060787,0.009940255,0.008391919,0,0,0,0.010518185
west_north_central,office_large,-0.012207458,0.012762632,-0.003287102,-0.008416585,0.003750804,-0.012963836,0.008050982,0.003987774,0.029270103,0.012965415,-0.003067133,-0.018700054,0.006940115,0.06572206,0.023265847,-0.011565087,0,0,0
west_north_central,office_small,-0.01043199,0.00681123,-0.002142343,-0.008644208,0.003297942,-0.012962221,0.005674896,0.003578585,0.028862987,0.008145807,-0.003736386,-0.013355178,0.004404436,0.012282393,0.036361845,-0.009785593,0,0,0.010570232
west_north_central,other,-0.007714966,0.006355152,-0.001388153,-0.006625424,0,-0.013035488,0.005328591,0.004991543,0.030280152,0.016487165,-0.004776873,0,0.007997191,0.012751399,0.025938218,0,0,0,0.010570232
west_north_central,warehouse,-0.00563358,0.012623335,0,-0.006385474,0,-0.009722612,0.008917786,0.004968035,0.030342793,0.01101388,-0.002190125,0,0.006919812,0.012751399,0.030455375,0,0,0,0.011679035
west_south_central,assembly,-0.026423101,-0.002440569,-0.026236438,-0.012822608,-0.008457021,-0.024355119,-0.003044841,-0.001462897,0.023687129,0.003176123,-0.012128314,-0.017313461,-0.0002355,0.008205287,0.022946526,0.021897149,0,0,0.021897149
west_south_central,education,-0.022232036,-0.007195314,-0.022509944,-0.009299405,-0.011300291,-0.017213133,-0.004994157,-0.000130233,0.02504833,-0.000280397,-0.003003785,-0.033038217,0.002778062,0.011641421,0.001265,0.00482883,0,0.021897149,-0.006162985
west_south_central,food_sales,-0.013903218,0.002948794,-0.017173044,-0.010668213,-0.00262468,-0.016457397,-0.005089788,0.000920403,0.026135068,0.001981847,0.005813221,-0.023079938,0.003297942,0.005560218,0.014975189,0,0,0,0.00482883
west_south_central,food_service,-0.014328174,0.005304773,-0.021276162,-0.010986455,-0.003754174,-0.013403894,-0.003601997,0.000928142,0.02613148,0.003670273,0.000378953,-0.02841149,0.001694115,0.010454081,0.050496006,0,0,0,0
west_south_central,health_care,-0.013034735,0.001142107,-0.020004304,-0.003777369,-0.003327669,-0.013137414,0.000493671,0.003485635,0.028769815,0.002612561,0.000309698,-0.001625942,0.005854241,0.012900005,0.001010105,0.021897149,0,-0.003673954,0.009894917
west_south_central,lodging,-0.01034632,-6.84E-05,-0.020153422,-0.008710849,-0.004597775,-0.018736134,-0.000573111,0.001492719,0.026707231,0.007710052,0.003123057,0,0.003156488,0.013822704,0.00555325,0,0,0,0.007923143
west_south_central,merc_service,-0.014748911,0.012129792,-0.014809205,-0.000477535,0.00015986,-0.014726874,-0.00091534,0.000868769,0.026073427,0.026051433,-0.012320989,0.012751399,0.001621839,0.00677042,0.001527917,0.021897149,0,0,0.007271348
west_south_central,office_large,-0.016804251,0.001046729,-0.014954483,-0.010995685,0,-0.017454686,0.000242391,0.001093541,0.026304209,9.53E-03,-0.005764372,-0.024020754,0.002869662,0.010944037,0.057372324,0,0,0,0.007401137
west_south_central,office_small,-0.014179697,-0.002395078,-0.011317413,-0.009651551,0.000429948,-0.018839581,-0.002374195,0.001484077,0.026701224,0.005222404,-0.004635289,-0.016643314,0.002233729,0.005930539,0.008906364,0,0,0,0.007860184
west_south_central,other,-0.010122219,0.002272227,-0.013409033,-0.007920188,0,-0.015669701,0.000352604,0.004907952,0.030216483,0.015515174,-0.00469014,0,0.007362806,0.010359717,0.059254683,0,0,0,0.011679035
west_south_central,warehouse,-0.008367594,0.002124006,-0.015373962,-0.00773019,-0.000534058,-0.014245843,0.002016092,0.003331966,0.028591728,0.0103253,-0.001772411,0,0.006045414,0.014057518,-0.002788705,0,0,0,0.010971762
