id,name,state
G18091,LaPorte County,IN
G18093,Lawrence County,IN
G18095,Madison County,IN
G18097,Marion County,IN
G18099,Marshall County,IN
G18101,Martin County,IN
G18103,Miami County,IN
G18105,Monroe County,IN
G18107,Montgomery County,IN
G18109,Morgan County,IN
G18111,Newton County,IN
G18113,Noble County,IN
G18115,Ohio County,IN
G18117,Orange County,IN
G18119,Owen County,IN
G18121,Parke County,IN
G18123,Perry County,IN
G18125,Pike County,IN
G18127,Porter County,IN
G18129,Posey County,IN
G18131,Pulaski County,IN
G18133,Putnam County,IN
G18135,Randolph County,IN
G18137,Ripley County,IN
G18139,Rush County,IN
G18141,St. Joseph County,IN
G18143,Scott County,IN
G18145,Shelby County,IN
G18147,Spencer County,IN
G18149,Starke County,IN
G18151,Steuben County,IN
G18153,Sullivan County,IN
G18155,Switzerland County,IN
G18157,Tippecanoe County,IN
G18159,Tipton County,IN
G18161,Union County,IN
G18163,Vanderburgh County,IN
G18165,Vermillion County,IN
G18167,Vigo County,IN
G18169,Wabash County,IN
G18171,Warren County,IN
G18173,Warrick County,IN
G18175,Washington County,IN
G18177,Wayne County,IN
G18179,Wells County,IN
G18181,White County,IN
G18183,Whitley County,IN
G19001,Adair County,IA
G19003,Adams County,IA
G19005,Allamakee County,IA
G19007,Appanoose County,IA
G19009,Audubon County,IA
G19011,Benton County,IA
G19013,Black Hawk County,IA
G19015,Boone County,IA
G19017,Bremer County,IA
G19019,Buchanan County,IA
G19021,Buena Vista County,IA
G19023,Butler County,IA
G19025,Calhoun County,IA
G19027,Carroll County,IA
G19029,Cass County,IA
G19031,Cedar County,IA
G19033,Cerro Gordo County,IA
G19035,Cherokee County,IA
G19037,Chickasaw County,IA
G19039,Clarke County,IA
G19041,Clay County,IA
G19043,Clayton County,IA
G19045,Clinton County,IA
G19047,Crawford County,IA
G19049,Dallas County,IA
G19051,Davis County,IA
G19053,Decatur County,IA
G19055,Delaware County,IA
G19057,Des Moines County,IA
G19059,Dickinson County,IA
G19061,Dubuque County,IA
G19063,Emmet County,IA
G19065,Fayette County,IA
G19067,Floyd County,IA
G19069,Franklin County,IA
G19071,Fremont County,IA
G19073,Greene County,IA
G19075,Grundy County,IA
G19077,Guthrie County,IA
G19079,Hamilton County,IA
G19081,Hancock County,IA
G19083,Hardin County,IA
G19085,Harrison County,IA
G19087,Henry County,IA
G19089,Howard County,IA
G19091,Humboldt County,IA
G19093,Ida County,IA
G19095,Iowa County,IA
G19097,Jackson County,IA
G19099,Jasper County,IA
G19101,Jefferson County,IA
G19103,Johnson County,IA
G19105,Jones County,IA
G19107,Keokuk County,IA
G19109,Kossuth County,IA
G19111,Lee County,IA
G19113,Linn County,IA
G19115,Louisa County,IA
G19117,Lucas County,IA
G19119,Lyon County,IA
G19121,Madison County,IA
G19123,Mahaska County,IA
G19125,Marion County,IA
G19127,Marshall County,IA
G19129,Mills County,IA
G19131,Mitchell County,IA
G19133,Monona County,IA
G19135,Monroe County,IA
G19137,Montgomery County,IA
G19139,Muscatine County,IA
G19141,O'Brien County,IA
G19143,Osceola County,IA
G19145,Page County,IA
G19147,Palo Alto County,IA
G19149,Plymouth County,IA
G19151,Pocahontas County,IA
G19153,Polk County,IA
G19155,Pottawattamie County,IA
G19157,Poweshiek County,IA
G19159,Ringgold County,IA
G19161,Sac County,IA
G19163,Scott County,IA
G19165,Shelby County,IA
G19167,Sioux County,IA
G19169,Story County,IA
G19171,Tama County,IA
G19173,Taylor County,IA
G19175,Union County,IA
G19177,Van Buren County,IA
G19179,Wapello County,IA
G19181,Warren County,IA
G19183,Washington County,IA
G19185,Wayne County,IA
G19187,Webster County,IA
G19189,Winnebago County,IA
G19191,Winneshiek County,IA
G19193,Woodbury County,IA
G19195,Worth County,IA
G19197,Wright County,IA
G20001,Allen County,KS
G20003,Anderson County,KS
G20005,Atchison County,KS
G20007,Barber County,KS
G20009,Barton County,KS
G20011,Bourbon County,KS
G20013,Brown County,KS
G20015,Butler County,KS
G20017,Chase County,KS
G20019,Chautauqua County,KS
G20021,Cherokee County,KS
G20023,Cheyenne County,KS
G20025,Clark County,KS
G20027,Clay County,KS
G20029,Cloud County,KS
G20031,Coffey County,KS
G20033,Comanche County,KS
G20035,Cowley County,KS
G20037,Crawford County,KS
G20039,Decatur County,KS
G20041,Dickinson County,KS
G20043,Doniphan County,KS
G20045,Douglas County,KS
G20047,Edwards County,KS
G20049,Elk County,KS
G20051,Ellis County,KS
G20053,Ellsworth County,KS
G20055,Finney County,KS
G20057,Ford County,KS
G20059,Franklin County,KS
G20061,Geary County,KS
G20063,Gove County,KS
G20065,Graham County,KS
G20067,Grant County,KS
G20069,Gray County,KS
G20071,Greeley County,KS
G20073,Greenwood County,KS
G20075,Hamilton County,KS
G20077,Harper County,KS
G20079,Harvey County,KS
G20081,Haskell County,KS
G20083,Hodgeman County,KS
G20085,Jackson County,KS
G20087,Jefferson County,KS
G20089,Jewell County,KS
G20091,Johnson County,KS
G20093,Kearny County,KS
G20095,Kingman County,KS
G20097,Kiowa County,KS
G20099,Labette County,KS
G20101,Lane County,KS
G20103,Leavenworth County,KS
G20105,Lincoln County,KS
G20107,Linn County,KS
G20109,Logan County,KS
G20111,Lyon County,KS
G20113,McPherson County,KS
G20115,Marion County,KS
G20117,Marshall County,KS
G20119,Meade County,KS
G20121,Miami County,KS
G20123,Mitchell County,KS
G20125,Montgomery County,KS
G20127,Morris County,KS
G20129,Morton County,KS
G20131,Nemaha County,KS
G20133,Neosho County,KS
G20135,Ness County,KS
G20137,Norton County,KS
G20139,Osage County,KS
G20141,Osborne County,KS
G20143,Ottawa County,KS
G20145,Pawnee County,KS
G20147,Phillips County,KS
G20149,Pottawatomie County,KS
G20151,Pratt County,KS
G20153,Rawlins County,KS
G20155,Reno County,KS
G20157,Republic County,KS
G20159,Rice County,KS
G20161,Riley County,KS
G20163,Rooks County,KS
G20165,Rush County,KS
G20167,Russell County,KS
G20169,Saline County,KS
G20171,Scott County,KS
G20173,Sedgwick County,KS
G20175,Seward County,KS
G20177,Shawnee County,KS
G20179,Sheridan County,KS
G20181,Sherman County,KS
G20183,Smith County,KS
G20185,Stafford County,KS
G20187,Stanton County,KS
G20189,Stevens County,KS
G20191,Sumner County,KS
G20193,Thomas County,KS
G20195,Trego County,KS
G20197,Wabaunsee County,KS
G20199,Wallace County,KS
G20201,Washington County,KS
G20203,Wichita County,KS
G20205,Wilson County,KS
G20207,Woodson County,KS
G20209,Wyandotte County,KS
G21001,Adair County,KY
G21003,Allen County,KY
G21005,Anderson County,KY
G21007,Ballard County,KY
G21009,Barren County,KY
G21011,Bath County,KY
G21013,Bell County,KY
G21015,Boone County,KY
G21017,Bourbon County,KY
G21019,Boyd County,KY
G21021,Boyle County,KY
G21023,Bracken County,KY
G21025,Breathitt County,KY
G21027,Breckinridge County,KY
G21029,Bullitt County,KY
G21031,Butler County,KY
G21033,Caldwell County,KY
G21035,Calloway County,KY
G21037,Campbell County,KY
G21039,Carlisle County,KY
G21041,Carroll County,KY
G21043,Carter County,KY
G21045,Casey County,KY
G21047,Christian County,KY
G21049,Clark County,KY
G21051,Clay County,KY
G21053,Clinton County,KY
G21055,Crittenden County,KY
G21057,Cumberland County,KY
G21059,Daviess County,KY
G21061,Edmonson County,KY
G21063,Elliott County,KY
G21065,Estill County,KY
G21067,Fayette County,KY
G21069,Fleming County,KY
G21071,Floyd County,KY
G21073,Franklin County,KY
G21075,Fulton County,KY
G21077,Gallatin County,KY
G21079,Garrard County,KY
G21081,Grant County,KY
G21083,Graves County,KY
G21085,Grayson County,KY
G21087,Green County,KY
G21089,Greenup County,KY
G21091,Hancock County,KY
G21093,Hardin County,KY
G21095,Harlan County,KY
G21097,Harrison County,KY
G21099,Hart County,KY
G21101,Henderson County,KY
G21103,Henry County,KY
G21105,Hickman County,KY
G21107,Hopkins County,KY
G21109,Jackson County,KY
G21111,Jefferson County,KY
G21113,Jessamine County,KY
G21115,Johnson County,KY
G21117,Kenton County,KY
G21119,Knott County,KY
G21121,Knox County,KY
G21123,Larue County,KY
G21125,Laurel County,KY
G21127,Lawrence County,KY
G21129,Lee County,KY
G21131,Leslie County,KY
G21133,Letcher County,KY
G21135,Lewis County,KY
G21137,Lincoln County,KY
G21139,Livingston County,KY
G21141,Logan County,KY
G21143,Lyon County,KY
G21145,McCracken County,KY
G21147,McCreary County,KY
G21149,McLean County,KY
G21151,Madison County,KY
G21153,Magoffin County,KY
G21155,Marion County,KY
G21157,Marshall County,KY
G21159,Martin County,KY
G21161,Mason County,KY
G21163,Meade County,KY
G21165,Menifee County,KY
G21167,Mercer County,KY
G21169,Metcalfe County,KY
G21171,Monroe County,KY
G21173,Montgomery County,KY
G21175,Morgan County,KY
G21177,Muhlenberg County,KY
G21179,Nelson County,KY
G21181,Nicholas County,KY
G21183,Ohio County,KY
G21185,Oldham County,KY
G21187,Owen County,KY
G21189,Owsley County,KY
G21191,Pendleton County,KY
G21193,Perry County,KY
G21195,Pike County,KY
G21197,Powell County,KY
G21199,Pulaski County,KY
G21201,Robertson County,KY
G21203,Rockcastle County,KY
G21205,Rowan County,KY
G21207,Russell County,KY
G21209,Scott County,KY
G21211,Shelby County,KY
G21213,Simpson County,KY
G21215,Spencer County,KY
G21217,Taylor County,KY
G21219,Todd County,KY
G21221,Trigg County,KY
